주제대분류,주제대분류명,대출건수합계,평균대출건수,도서수
8,문학,1341767,11.47623527801774,116917
3,사회과학,945366,10.594710299226717,89230
5,기술과학,540115,11.931760443590253,45267
6,예술,329584,11.569222128615557,28488
1,철학,324731,12.266034599984891,26474
9,역사,321187,12.211504828530149,26302
7,언어,247380,15.771756455211985,15685
0,총류,181079,12.109877616531799,14953
4,자연과학,176952,11.746680828465214,15064
2,종교,125854,8.877962753950339,14176
