출판사,대출건수합계,평균대출건수,도서수
사이,1110,20.555555555555557,54
파피루스(디앤씨미디어),1110,69.375,16
한울림,1107,8.581395348837209,129
경성라인,1106,14.0,79
신광출판사,1106,5.946236559139785,186
보림,1103,9.040983606557377,122
새로운사람들,1101,6.185393258426966,178
이론과실천,1101,9.57391304347826,115
가교출판,1099,16.907692307692308,65
진리탐구,1099,11.945652173913043,92
봄봄출판사,1098,17.70967741935484,62
언어세상,1097,22.387755102040817,49
글누림,1096,7.884892086330935,139
휴머니스트출판그룹,1096,11.536842105263158,95
학현사,1095,11.648936170212766,94
비봉출판사,1094,9.68141592920354,113
정민사,1092,12.0,91
영진미디어,1092,15.166666666666666,72
기독교문서선교회,1092,7.328859060402684,149
나라말,1092,12.269662921348315,89
생각비행,1090,9.909090909090908,110
뮤진트리,1088,8.991735537190083,121
한문화,1088,13.268292682926829,82
씨앗을 뿌리는 사람의 즐거운 편집실,1087,29.37837837837838,37
敎文社,1086,7.985294117647059,136
학문사,1086,4.160919540229885,261
지호,1085,10.637254901960784,102
홍익미디어플러스,1081,24.022222222222222,45
한울아카데미,1081,7.206666666666667,150
디자인이음,1072,18.16949152542373,59
마루출판사,1071,107.1,10
경인문화사,1068,3.216867469879518,332
노마드북스,1064,29.555555555555557,36
하늘연못,1060,10.927835051546392,97
이미지프레임,1056,18.857142857142858,56
와니북스,1052,15.93939393939394,66
해우,1051,43.791666666666664,24
새물결플러스,1049,7.8283582089552235,134
이상미디어,1048,15.878787878787879,66
한국외국어대학교출판부,1045,6.830065359477124,153
월인,1045,4.837962962962963,216
이끌리오,1043,13.545454545454545,77
아이뉴턴,1043,24.833333333333332,42
예담,1041,20.82,50
문음사,1040,6.5,160
서림문화사,1039,12.223529411764705,85
아름다운 날,1038,61.05882352941177,17
태웅출판사,1035,10.670103092783505,97
리딩리더,1034,54.421052631578945,19
음악세계,1034,10.770833333333334,96
젠토피아,1033,28.694444444444443,36
이산,1033,17.810344827586206,58
조선매거진,1031,18.410714285714285,56
투리북스,1031,25.775,40
한울(한울아카데미),1028,6.047058823529412,170
동인랑,1024,18.285714285714285,56
위너스초이스,1023,35.275862068965516,29
유니버설픽쳐스,1023,8.895652173913044,115
아침나라,1022,12.617283950617283,81
타임기획,1021,23.204545454545453,44
푸른터,1021,46.40909090909091,22
시대고시기획,1018,16.158730158730158,63
삼호뮤직,1014,24.142857142857142,42
책속물고기,1012,10.326530612244898,98
키다리,1011,11.488636363636363,88
이음,1009,8.929203539823009,113
생각정원,1007,10.07,100
지식너머,1007,9.776699029126213,103
예니,1005,10.691489361702128,94
다연,1004,9.843137254901961,102
소화,1002,5.416216216216216,185
토마토출판사,1001,13.346666666666666,75
더난출판사,1000,7.352941176470588,136
북바이북,998,10.080808080808081,99
에듀조선,997,28.485714285714284,35
북씽크,996,11.448275862068966,87
건국대학교출판부,994,4.073770491803279,244
따비,992,9.271028037383177,107
문운당,992,7.630769230769231,130
골든벨,987,8.657894736842104,114
한승,984,10.144329896907216,97
태일출판사,982,11.159090909090908,88
북폴리오,978,20.80851063829787,47
Terra(테라),977,33.689655172413794,29
동양문고·상상공방,976,28.705882352941178,34
동쪽나라,975,12.828947368421053,76
수문사,975,8.193277310924369,119
한솔수북,972,10.68131868131868,91
에코의서재,972,29.454545454545453,33
학민사,972,6.311688311688312,154
플럼북스,971,32.36666666666667,30
미디어샘,969,14.462686567164178,67
새론북스,968,20.166666666666668,48
나비의활주로,968,13.633802816901408,71
사과나무,968,13.26027397260274,73
에스에이엠티유,967,29.303030303030305,33
지식만들기,967,17.90740740740741,54
솔,967,8.557522123893806,113
리더북스,967,13.814285714285715,70
에스제이더블유인터내셔널,964,13.971014492753623,69
세시,961,16.56896551724138,58
올림,959,10.775280898876405,89
바이북스,959,6.3509933774834435,151
동아엠앤비,959,7.551181102362205,127
자연과생태,958,10.41304347826087,92
김앤김북스,958,13.884057971014492,69
문학의숲,956,18.745098039215687,51
생각나눔,955,6.241830065359477,153
형설라이프,953,17.327272727272728,55
역사공간,953,5.540697674418604,172
에이케이커뮤니케이션즈,951,10.685393258426966,89
대한기독교서회,950,5.277777777777778,180
두레,948,10.193548387096774,93
아이필드,947,12.460526315789474,76
BM황금부엉이,945,15.241935483870968,62
계수나무,945,14.538461538461538,65
조화로운삶,944,36.30769230769231,26
씨네21,942,32.48275862068966,29
한티미디어,941,10.816091954022989,87
예영커뮤니케이션,941,5.47093023255814,172
오늘의책,940,11.75,80
포르체,939,6.520833333333333,144
지식프레임,938,13.027777777777779,72
청람,938,8.766355140186915,107
해토,938,20.844444444444445,45
수오서재,937,8.147826086956522,115
센추리원,933,29.15625,32
한나래,933,7.906779661016949,118
사람과책,932,17.923076923076923,52
동연,931,6.206666666666667,150
모시는사람들,929,5.161111111111111,180
모요사,927,13.632352941176471,68
황소자리,927,12.36,75
팍스넷,926,61.733333333333334,15
작가,925,7.581967213114754,122
윈글리쉬닷컴,925,38.541666666666664,24
넥서스주니어,925,16.228070175438596,57
예신,924,17.433962264150942,53
도솔출판사,921,18.42,50
인터비젼,921,7.1395348837209305,129
북플라자,921,14.85483870967742,62
북멘토,920,8.440366972477063,109
리더스북,920,18.03921568627451,51
복두출판사,920,7.931034482758621,116
조선일보 생활미디어,917,36.68,25
이덴슬리벨,916,16.357142857142858,56
분도출판사,914,7.030769230769231,130
서울대학교 출판부,913,6.969465648854962,131
